Name,Team,Pos,No,ID
Kyle Palmieri,NYI,C,21,8475151
Calum Ritchie,NYI,C,64,8484221
Brayden Schenn,NYI,C,10,8475170
Max Shabanov,NYI,R,49,8485702
Adam Boqvist,NYI,D,34,8480871
Tony DeAngelo,NYI,D,77,8477950
Scott Mayfield,NYI,D,24,8476429
Adam Pelech,NYI,D,3,8476917
Ryan Pulock,NYI,D,6,8477506
Alexander Romanov,NYI,D,28,8481014
Matthew Schaefer,NYI,D,48,8485366
Carson Soucy,NYI,D,4,8477369
David Rittich,NYI,G,33,8479496
Ilya Sorokin,NYI,G,30,8478009
Semyon Varlamov,NYI,G,40,8473575
Michael Amadio,OTT,R,22,8478020
Drake Batherson,OTT,R,19,8480208
Nick Cousins,OTT,C,21,8476393
Dylan Cozens,OTT,C,24,8481528
Lars Eller,OTT,C,89,8474189
Warren Foegele,OTT,L,37,8477998
Claude Giroux,OTT,R,28,8473512
Ridly Greig,OTT,C,71,8482092
Stephen Halliday,OTT,C,83,8483676
Kurtis MacDermid,OTT,L,23,8477073
Shane Pinto,OTT,C,12,8481596
Tim Stützle,OTT,C,18,8482116
Brady Tkachuk,OTT,L,7,8480801
Fabian Zetterlund,OTT,L,20,8480188
Thomas Chabot,OTT,D,72,8478469
Dennis Gilbert,OTT,D,6,8478502
Nick Jensen,OTT,D,3,8475324
Tyler Kleven,OTT,D,43,8482095
Nikolas Matinpalo,OTT,D,33,8484321
Jake Sanderson,OTT,D,85,8482105
Jordan Spence,OTT,D,10,8481606
Lassi Thomson,OTT,D,60,8481575
Artem Zub,OTT,D,2,8482245
James Reimer,OTT,G,47,8473503
Linus Ullmark,OTT,G,35,8476999
Leo Carlsson,ANA,C,91,8484153
Cutter Gauthier,ANA,L,61,8483445
Mikael Granlund,ANA,C,64,8475798
Jansen Harkins,ANA,C,24,8478424
Ross Johnston,ANA,L,44,8477527
Alex Killorn,ANA,L,17,8473986
Chris Kreider,ANA,L,20,8475184
Mason McTavish,ANA,C,23,8482745
Ryan Poehling,ANA,C,25,8480068
Beckett Sennecke,ANA,R,45,8484762
Troy Terry,ANA,R,19,8478873
Frank Vatrano,ANA,R,77,8478366
Jeffrey Viel,ANA,L,28,8479705
Tim Washe,ANA,C,42,8485512
John Carlson,ANA,D,74,8474590
Radko Gudas,ANA,D,7,8475462
Drew Helleson,ANA,D,14,8481563
Jackson LaCombe,ANA,D,2,8481605
Pavel Mintyukov,ANA,D,98,8483490
Ian Moore,ANA,D,3,8482178
Jacob Trouba,ANA,D,65,8476885
Olen Zellweger,ANA,D,51,8482803
Lukas Dostal,ANA,G,1,8480843
Ville Husso,ANA,G,33,8478024
Petr Mrazek,ANA,G,34,8475852
Rodrigo Abols,PHI,C,18,8479022
Denver Barkey,PHI,C,52,8484142
Alex Bump,PHI,L,20,8483731
Noah Cates,PHI,L,27,8480220
Sean Couturier,PHI,C,14,8476461
Christian Dvorak,PHI,C,22,8477989
Tyson Foerster,PHI,R,71,8482159
Luke Glendening,PHI,C,41,8476822
Nikita Grebenkin,PHI,R,29,8483733
Carl Grundstrom,PHI,R,91,8479336
Garnet Hathaway,PHI,R,19,8477903
Travis Konecny,PHI,R,11,8478439
Matvei Michkov,PHI,R,39,8484387
Owen Tippett,PHI,R,74,8480015
Garrett Wilson,PHI,L,10,8475253
Trevor Zegras,PHI,C,46,8481533
Emil Andrae,PHI,D,36,8482126
Jamie Drysdale,PHI,D,9,8482142
Noah Juulsen,PHI,D,47,8478454
Rasmus Ristolainen,PHI,D,55,8477499
Travis Sanheim,PHI,D,6,8477948
Nick Seeler,PHI,D,24,8476372
Cam York,PHI,D,8,8481546
Samuel Ersson,PHI,G,33,8481035
Dan Vladar,PHI,G,80,8478435
