Name,Team,Pos,No
Michael Rasmussen,DET,C,27
Lucas Raymond,DET,L,23
Dominik Shine,DET,R,65
James van Riemsdyk,DET,L,21
Jacob Bernard-Docker,DET,D,25
Ben Chiarot,DET,D,8
Simon Edvinsson,DET,D,77
Justin Faulk,DET,D,72
Travis Hamonic,DET,D,52
Albert Johansson,DET,D,20
Axel Sandin-Pellikka,DET,D,44
Moritz Seider,DET,D,53
John Gibson,DET,G,36
Cam Talbot,DET,G,39
Mathew Barzal,NYI,C,13
Casey Cizikas,NYI,C,53
Anthony Duclair,NYI,L,11
Marc Gatcomb,NYI,C,16
Emil Heineman,NYI,L,51
Simon Holmstrom,NYI,R,92
Bo Horvat,NYI,C,14
Anders Lee,NYI,L,27
Kyle MacLean,NYI,C,32
Jean-Gabriel Pageau,NYI,C,44
Ondrej Palat,NYI,L,81
Kyle Palmieri,NYI,C,21
Calum Ritchie,NYI,C,64
Brayden Schenn,NYI,C,10
Max Shabanov,NYI,R,49
Adam Boqvist,NYI,D,34
Tony DeAngelo,NYI,D,77
Scott Mayfield,NYI,D,24
Adam Pelech,NYI,D,3
Ryan Pulock,NYI,D,6
Alexander Romanov,NYI,D,28
Matthew Schaefer,NYI,D,48
Carson Soucy,NYI,D,4
David Rittich,NYI,G,33
Ilya Sorokin,NYI,G,30
Semyon Varlamov,NYI,G,40
Michael Amadio,OTT,R,22
Drake Batherson,OTT,R,19
Nick Cousins,OTT,C,21
Dylan Cozens,OTT,C,24
Lars Eller,OTT,C,89
Warren Foegele,OTT,L,37
Claude Giroux,OTT,R,28
Ridly Greig,OTT,C,71
Stephen Halliday,OTT,C,83
Kurtis MacDermid,OTT,L,23
Shane Pinto,OTT,C,12
Tim Stützle,OTT,C,18
Brady Tkachuk,OTT,L,7
Fabian Zetterlund,OTT,L,20
Thomas Chabot,OTT,D,72
Dennis Gilbert,OTT,D,6
Nick Jensen,OTT,D,3
Tyler Kleven,OTT,D,43
Nikolas Matinpalo,OTT,D,33
Jake Sanderson,OTT,D,85
Jordan Spence,OTT,D,10
Lassi Thomson,OTT,D,60
Artem Zub,OTT,D,2
James Reimer,OTT,G,47
Linus Ullmark,OTT,G,35
Leo Carlsson,ANA,C,91
Cutter Gauthier,ANA,L,61
Mikael Granlund,ANA,C,64
Jansen Harkins,ANA,C,24
Ross Johnston,ANA,L,44
Alex Killorn,ANA,L,17
Chris Kreider,ANA,L,20
Mason McTavish,ANA,C,23
Ryan Poehling,ANA,C,25
Beckett Sennecke,ANA,R,45
Troy Terry,ANA,R,19
Frank Vatrano,ANA,R,77
Jeffrey Viel,ANA,L,28
Tim Washe,ANA,C,42
John Carlson,ANA,D,74
Radko Gudas,ANA,D,7
Drew Helleson,ANA,D,14
Jackson LaCombe,ANA,D,2
Pavel Mintyukov,ANA,D,98
Ian Moore,ANA,D,3
Jacob Trouba,ANA,D,65
Olen Zellweger,ANA,D,51
Lukas Dostal,ANA,G,1
Ville Husso,ANA,G,33
Petr Mrazek,ANA,G,34
Rodrigo Abols,PHI,C,18
Denver Barkey,PHI,C,52
Alex Bump,PHI,L,20
Noah Cates,PHI,L,27
Sean Couturier,PHI,C,14
Christian Dvorak,PHI,C,22
Tyson Foerster,PHI,R,71
Luke Glendening,PHI,C,41
Nikita Grebenkin,PHI,R,29
Carl Grundstrom,PHI,R,91
Garnet Hathaway,PHI,R,19
Travis Konecny,PHI,R,11
Matvei Michkov,PHI,R,39
Owen Tippett,PHI,R,74
Garrett Wilson,PHI,L,10
Trevor Zegras,PHI,C,46
Emil Andrae,PHI,D,36
Jamie Drysdale,PHI,D,9
Noah Juulsen,PHI,D,47
Rasmus Ristolainen,PHI,D,55
Travis Sanheim,PHI,D,6
Nick Seeler,PHI,D,24
Cam York,PHI,D,8
Samuel Ersson,PHI,G,33
Dan Vladar,PHI,G,80
Anthony Beauvillier,WSH,R,72
Pierre-Luc Dubois,WSH,C,80
Brandon Duhaime,WSH,L,22
Ethen Frank,WSH,R,53
David Kampf,WSH,C,64
Hendrix Lapierre,WSH,C,29
Ryan Leonard,WSH,R,9
Connor McMichael,WSH,L,24
Alex Ovechkin,WSH,L,8
Aliaksei Protas,WSH,L,21
